NOMBRE,BLOQUE,Coordenadas,LATS,LONGS
CONSTRUCCIÓN DE OBRAS PORTUARIAS,5K,"-2.14675, -79.96303",-2.14675,-79.96303
INTRODUCCIÓN A LA ECONOMÍA,9F,"-2.14717, -79.96779",-2.14717,-79.96779
INTRODUCCIÓN A LA ESTADÍSTICA,9I,"-2.14608, -79.96717",-2.14608,-79.96717
TEORÍA DEL DISEÑO,14B,"-2.14361, -79.96212",-2.14361,-79.96212
ADMINISTRACIÓN DE SISTEMAS Y SERVICIOS EN RED,11B,"-2.14509, -79.96725",-2.14509,-79.96725
TRANSFERENCIA DE CALOR,12H,"-2.14423, -79.96633",-2.14423,-79.96633
GESTIÓN DE OBRAS CIVILES,13H,"-2.14592, -79.96581",-2.14592,-79.96581
FINANZAS INTERNACIONALES,9F,"-2.14717, -79.96779",-2.14717,-79.96779
MACROECONOMÍA I,9F,"-2.14717, -79.96779",-2.14717,-79.96779
INGENIERÍA DE TRÁNSITO,9M,"-2.14682, -79.96671",-2.14682,-79.96671
SISTEMAS BIOMECATRÓNICOS,12H,"-2.14423, -79.96633",-2.14423,-79.96633
EXPRESIÓN CORPORAL,14B,"-2.14361, -79.96212",-2.14361,-79.96212
REDACCIÓN CREATIVA,14B,"-2.14361, -79.96212",-2.14361,-79.96212
INMUNOLOGÍA,3H,"-2.15229, -79.95582",-2.15229,-79.95582
BIOGEOGRAFÍA,3H,"-2.15229, -79.95582",-2.15229,-79.95582
BIOESTADÍSTICA,8G,"-2.14859, -79.9672",-2.14859,-79.9672
GEOGRAFÍA TURÍSTICA,9C,"-2.14725, -79.96693",-2.14725,-79.96693
CÁLCULO I,9I,"-2.14608, -79.96717",-2.14608,-79.96717
AJEDREZ,VRA,"-2.14753, -79.9661",-2.14753,-79.9661
PROPAGACIÓN,11A,"-2.14464, -79.96763",-2.14464,-79.96763
SISTEMAS DE POTENCIA II,11D,"-2.14542, -79.96613",-2.14542,-79.96613
CIRCUITOS ELÉCTRICOS,11D,"-2.14542, -79.96613",-2.14542,-79.96613
DISEÑO DE SOFTWARE,11D,"-2.14542, -79.96613",-2.14542,-79.96613
GESTIÓN DE PROYECTOS,9F,"-2.14717, -79.96779",-2.14717,-79.96779
ELECTRÓNICA,11D,"-2.14542, -79.96613",-2.14542,-79.96613
PROGRAMACIÓN APLICADA A LA AUTOMATIZACIÓN,11D,"-2.14542, -79.96613",-2.14542,-79.96613
SISTEMA DE BASES DE DATOS,11D,"-2.14542, -79.96613",-2.14542,-79.96613
INSTALACIONES ELÉCTRICAS,11F,"-2.14528, -79.96718",-2.14528,-79.96718
TRANSFERENCIA DE CALOR Y MASA,12H,"-2.14423, -79.96633",-2.14423,-79.96633
SISTEMAS DE MONITOREO Y CONTROL INDUSTRIAL,12H,"-2.14423, -79.96633",-2.14423,-79.96633
POTABILIZACIÓN Y TRATAMIENTO DEL AGUA,13H,"-2.14592, -79.96581",-2.14592,-79.96581
DISEÑO DE EXPERIENCIA,14B,"-2.14361, -79.96212",-2.14361,-79.96212
GENÉTICA,3D,"-2.15063, -79.95777",-2.15063,-79.95777
LOGÍSTICA Y SERVICIO AL CLIENTE,12C,"-2.14497, -79.96579",-2.14497,-79.96579
MÉTODOS DE INVESTIGACIÓN EN TURISMO,FCSH,"-2.1478, -79.96865",-2.1478,-79.96865
PROCESAMIENTO DE FARINÁCEOS Y OLEAGINOSAS,12H,"-2.14423, -79.96633",-2.14423,-79.96633
GESTIÓN DEL DISEÑO,14B,"-2.14361, -79.96212",-2.14361,-79.96212
FRANCÉS I,8E,"-2.1487, -79.96782",-2.1487,-79.96782
EDUCACIÓN SOCIOEMOCIONAL,9F,"-2.14717, -79.96779",-2.14717,-79.96779
CONSEJERÍA NUTRICIONAL,VRA,"-2.15201, -79.95506",-2.15201,-79.95506
GESTIÓN DE INFRAESTRUCTURA Y SERVICIOS TI,11B,"-2.14509, -79.96725",-2.14509,-79.96725
TELEMETRÍA Y SISTEMAS CIBERFÍSICOS,11D,"-2.14542, -79.96613",-2.14542,-79.96613
PROCESAMIENTO DIGITAL DE SEÑALES,11D,"-2.14542, -79.96613",-2.14542,-79.96613
OPTIMIZACIÓN Y SIMULACIÓN DE PROCESOS ALIMENTARIOS,12C,"-2.14497, -79.96579",-2.14497,-79.96579
FERMENTACIÓN Y ENZIMOLOGÍA ALIMENTARIA,12H,"-2.14423, -79.96633",-2.14423,-79.96633
CONTROL POR APRENDIZAJE REFORZADO,12H,"-2.14423, -79.96633",-2.14423,-79.96633
GUIANZA Y MANEJO DE GRUPOS,9F,"-2.14717, -79.96779",-2.14717,-79.96779
SCADA APLICADO A SISTEMAS DE POTENCIA,11F,"-2.14528, -79.96718",-2.14528,-79.96718
PROGRAMACIÓN ENTERA PARA INGENIERÍA,12C,"-2.14497, -79.96579",-2.14497,-79.96579
MECÁNICA DE SUELOS Y ROCAS,13H,"-2.14592, -79.96581",-2.14592,-79.96581
DIETOTERAPIA BÁSICA,3H,"-2.15229, -79.95582",-2.15229,-79.95582
BOTÁNICA GENERAL,3H,"-2.15229, -79.95582",-2.15229,-79.95582
NUTRICIÓN EN EL CICLO DE LA VIDA I,3H,"-2.15229, -79.95582",-2.15229,-79.95582
HISTORIA DEL DISEÑO INDUSTRIAL,14B,"-2.14361, -79.96212",-2.14361,-79.96212
ACTUACIÓN,14B,"-2.14361, -79.96212",-2.14361,-79.96212
TENDENCIAS EN NUTRICIÓN,3H,"-2.15229, -79.95582",-2.15229,-79.95582
NUTRICIÓN CLÍNICA I,3H,"-2.15229, -79.95582",-2.15229,-79.95582
TOXICOLOGÍA NUTRICIONAL Y ALIMENTARIA,3H,"-2.15229, -79.95582",-2.15229,-79.95582
DIETOTERAPIA AVANZADA,3H,"-2.15229, -79.95582",-2.15229,-79.95582
AUDITORÍA DE SISTEMAS INTEGRADOS,FCSH,"-2.1478, -79.96865",-2.1478,-79.96865
TERMODINÁMICA,12C,"-2.14497, -79.96579",-2.14497,-79.96579
DISEÑO MECATRÓNICO,12C,"-2.14497, -79.96579",-2.14497,-79.96579
EDICIÓN Y MONTAJE,14B,"-2.14361, -79.96212",-2.14361,-79.96212
FOTOGRAFÍA DIGITAL,14B,"-2.14361, -79.96212",-2.14361,-79.96212
FOTOGRAFÍA,14B,"-2.14361, -79.96212",-2.14361,-79.96212
TÉCNICAS CULINARIAS,3D,"-2.15063, -79.95777",-2.15063,-79.95777
MATERIALES EN MEDIOS MARINOS,5K,"-2.14675, -79.96303",-2.14675,-79.96303
CONTABILIDAD I,9B,"-2.14715, -79.96725",-2.14715,-79.96725
MICROECONOMÍA I,9F,"-2.14717, -79.96779",-2.14717,-79.96779
EVALUACIÓN Y SIMULACIÓN DE REDES,11A,"-2.14464, -79.96763",-2.14464,-79.96763
