NOMBRE,BLOQUE,Coordenadas,LATS,LONGS
ANÁLISIS FINANCIERO,9F,"-2.14717, -79.96779",-2.14717,-79.96779
FÍSICA: TERMODINÁMICA Y ELECTRÓNICA,9M,"-2.14682, -79.96671",-2.14682,-79.96671
COMPORTAMIENTO ORGANIZACIONAL,9F,"-2.14717, -79.96779",-2.14717,-79.96779
EMPRENDIMIENTO E INNOVACIÓN,9B,"-2.14715, -79.96725",-2.14715,-79.96725
FINANZAS INTERNACIONALES,9B,"-2.14715, -79.96725",-2.14715,-79.96725
INGENIERÍA DE LA CALIDAD,12C,"-2.14497, -79.96579",-2.14497,-79.96579
MATEMÁTICA APLICADA A LA INGENIERÍA,9I,"-2.14608, -79.96717",-2.14608,-79.96717
FUNDAMENTOS DE PROGRAMACIÓN,8G,"-2.14859, -79.9672",-2.14859,-79.9672
ESTUDIO DE CASOS DE CIENCIAS SOCIALES,9B,"-2.14715, -79.96725",-2.14715,-79.96725
ESTADÍSTICA,9M,"-2.14682, -79.96671",-2.14682,-79.96671
CONTABILIDAD DE COSTOS,9B,"-2.14715, -79.96725",-2.14715,-79.96725
MECÁNICA DE FLUIDOS,FIMCP,"-2.14437, -79.96617",-2.14437,-79.96617
SOCIOLOGÍA,9F,"-2.14717, -79.96779",-2.14717,-79.96779
CONTABILIDAD FINANCIERA,9B,"-2.14715, -79.96725",-2.14715,-79.96725
FUNDAMENTOS DE INVERSIONES,9B,"-2.14715, -79.96725",-2.14715,-79.96725
ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS,12C,"-2.14497, -79.96579",-2.14497,-79.96579
COMUNICACIÓN,VRA,"-2.14862, -79.9677",-2.14862,-79.9677
ADMINISTRACIÓN DE OPERACIONES,9C,"-2.14725, -79.96693",-2.14725,-79.96693
CÁLCULO DE UNA VARIABLE,8G,"-2.14859, -79.9672",-2.14859,-79.9672
FUNDAMENTOS DE ADMINISTRACIÓN,9F,"-2.14717, -79.96779",-2.14717,-79.96779
INTRODUCCIÓN A LA ECONOMÍA,8E,"-2.1487, -79.96782",-2.1487,-79.96782
EMPRENDIMIENTO E INNOVACIÓN,11D,"-2.14542, -79.96613",-2.14542,-79.96613
FUNDAMENTOS DE PROGRAMACIÓN,7A,"-2.14752, -79.96611",-2.14752,-79.96611
MECÁNICA DE MAQUINARIA,12C,"-2.14497, -79.96579",-2.14497,-79.96579
ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS,8G,"-2.14859, -79.9672",-2.14859,-79.9672
MECÁNICA DE FLUIDOS,12H,"-2.14423, -79.96633",-2.14423,-79.96633
EMPRENDIMIENTO E INNOVACIÓN,14B,"-2.14361, -79.96212",-2.14361,-79.96212
FUNDAMENTOS DE PROGRAMACIÓN,8H,"-2.14846, -79.96737",-2.14846,-79.96737
ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS,13B,"-2.1456, -79.96506",-2.1456,-79.96506
CHINO-MANDARÍN I,8F,"-2.14877, -79.96752",-2.14877,-79.96752
INGLÉS V,8F,"-2.14877, -79.96752",-2.14877,-79.96752
FRANCÉS I,8F,"-2.14877, -79.96752",-2.14877,-79.96752
INTRODUCCIÓN A LA ECONOMÍA,8F,"-2.14877, -79.96752",-2.14877,-79.96752
INGLÉS II,8E,"-2.1487, -79.96782",-2.1487,-79.96782
INGLÉS IV,8E,"-2.1487, -79.96782",-2.1487,-79.96782
INGLÉS III,8E,"-2.1487, -79.96782",-2.1487,-79.96782
INGLÉS I,8E,"-2.1487, -79.96782",-2.1487,-79.96782
ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS,5K,"-2.14675, -79.96303",-2.14675,-79.96303
FUNDAMENTOS DE PROGRAMACIÓN,FIEC,"-2.14458, -79.96767",-2.14458,-79.96767
ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS,9M,"-2.14682, -79.96671",-2.14682,-79.96671
EMPRENDIMIENTO E INNOVACIÓN,7B,"-2.14704, -79.96609",-2.14704,-79.96609
MATEMÁTICAS FINANCIERAS,8E,"-2.1487, -79.96782",-2.1487,-79.96782
EMPRENDIMIENTO E INNOVACIÓN,12C,"-2.14497, -79.96579",-2.14497,-79.96579
INGLÉS V,9F,"-2.14717, -79.96779",-2.14717,-79.96779
INGLÉS I,9F,"-2.14717, -79.96779",-2.14717,-79.96779
INGLÉS I,9B,"-2.14715, -79.96725",-2.14715,-79.96725
INGLÉS II,9B,"-2.14715, -79.96725",-2.14715,-79.96725
CIENCIAS DE LA SOSTENIBILIDAD,8G,"-2.14859, -79.9672",-2.14859,-79.9672
INGLÉS III,9F,"-2.14717, -79.96779",-2.14717,-79.96779
ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS,9B,"-2.14715, -79.96725",-2.14715,-79.96725
ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS,9G,"-2.14684, -79.9678",-2.14684,-79.9678
INGLÉS IV,9B,"-2.14715, -79.96725",-2.14715,-79.96725
FÍSICA: MECÁNICA,9I,"-2.14608, -79.96717",-2.14608,-79.96717
FUNDAMENTOS DE PROGRAMACIÓN,FCNM,"-2.14698, -79.96746",-2.14698,-79.96746
EMPRENDIMIENTO E INNOVACIÓN,5K,"-2.14675, -79.96303",-2.14675,-79.96303
ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS,8H,"-2.14846, -79.96737",-2.14846,-79.96737
CÁLCULO DE UNA VARIABLE,9G,"-2.14684, -79.9678",-2.14684,-79.9678
CÁLCULO DE UNA VARIABLE,9I,"-2.14608, -79.96717",-2.14608,-79.96717
FUNDAMENTOS DE PROGRAMACIÓN,FCV,"-2.15153, -79.95655",-2.15153,-79.95655
ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS,7B,"-2.14704, -79.96609",-2.14704,-79.96609
FUNDAMENTOS DE PROGRAMACIÓN,FCSH,"-2.1478, -79.96865",-2.1478,-79.96865
DIAGNÓSTICO Y PROTECCIÓN VEGETAL I,GEA,"-2.15133, -79.95574",-2.15133,-79.95574
GENOTECNIA,GEA,"-2.15133, -79.95574",-2.15133,-79.95574
EXTENSIONISMO,GEA,"-2.15133, -79.95574",-2.15133,-79.95574
RIEGO Y DRENAJE,GEA,"-2.15133, -79.95574",-2.15133,-79.95574
PRODUCCIÓN PECUARIA II,GEA,"-2.15133, -79.95574",-2.15133,-79.95574
ELECTRÓNICA,11C,"-2.14565, -79.96656",-2.14565,-79.96656
APLICACIONES ELECTRÓNICAS,11C,"-2.14565, -79.96656",-2.14565,-79.96656
PRINCIPIOS DE ELECTRÓNICA,11A,"-2.14464, -79.96763",-2.14464,-79.96763
FERMENTACIÓN Y ENZIMOLOGÍA ALIMENTARIA,12G,"-2.14441, -79.96641",-2.14441,-79.96641
PRINCIPIOS DE ELECTRÓNICA,11C,"-2.14565, -79.96656",-2.14565,-79.96656
PROCESAMIENTO DE FRUTAS Y VEGETALES,12G,"-2.14441, -79.96641",-2.14441,-79.96641
"PROCESAMIENTO DE CÁRNICOS, PESCADOS Y MARISCOS",12G,"-2.14441, -79.96641",-2.14441,-79.96641
PROCESAMIENTO DE LÁCTEOS,12G,"-2.14441, -79.96641",-2.14441,-79.96641
INVESTIGACIÓN II,AULAS EDCOM,"-2.15149, -79.9464",-2.15149,-79.9464
INVESTIGACIÓN I,AULAS EDCOM,"-2.15149, -79.9464",-2.15149,-79.9464
